FID,longitude,latitude
0,110.5206398,31.51818121
1,110.8523352,31.51899403
2,111.1840369,31.51894688
3,111.5157308,31.51803977
4,111.8474026,31.51627283
5,112.1790382,31.51364633
6,112.5106233,31.51016065
7,112.8421438,31.50581632
8,113.1735856,31.50061399
9,113.5049345,31.49455442
10,113.8361764,31.48763852
11,114.1672973,31.47986732
12,114.4982831,31.47124196
13,114.8291198,31.46176373
14,115.1597935,31.45143404
15,115.4902901,31.44025441
16,115.8205959,31.42822649
17,116.150697,31.41535206
18,116.4805796,31.40163303
19,110.5192553,31.787522
20,110.8519087,31.78834337
21,111.1845685,31.78829572
22,111.5172203,31.78737907
23,111.8498498,31.78559354
24,112.1824426,31.7829394
25,112.5149844,31.77941705
26,112.8474608,31.77502703
27,113.1798575,31.76976997
28,113.5121602,31.76364667
29,113.8443547,31.75665804
30,114.1764266,31.74880513
31,114.5083619,31.7400891
32,114.8401463,31.73051125
33,115.1717657,31.72007301
34,115.503206,31.70877592
35,115.8344532,31.69662167
36,116.1654932,31.68361206
37,116.4963122,31.66974901
38,110.5178522,32.05685133
39,110.8514764,32.0576813
40,111.1851072,32.05763315
41,111.5187299,32.0567069
42,111.8523299,32.05490267
43,112.1858929,32.05222074
44,112.5194042,32.04866152
45,112.8528493,32.04422553
46,113.1862138,32.03891344
47,113.5194831,32.03272604
48,113.852643,32.02566428
49,114.1856788,32.01772919
50,114.5185763,32.00892197
51,114.8513211,31.99924394
52,115.1838989,31.98869653
53,115.5162955,31.97728133
54,115.8484966,31.96500004
55,116.1804881,31.95185448
56,116.5122559,31.93784661
57,110.5164302,32.32616914
58,110.8510384,32.32700776
59,111.1856531,32.32695911
60,111.5202597,32.3260232
61,111.8548434,32.32420017
62,112.1893896,32.32149029
63,112.5238834,32.31789397
64,112.8583103,32.31341176
65,113.1926556,32.30804432
66,113.5269046,32.30179247
67,113.8610427,32.29465714
68,114.1950553,32.28663941
69,114.5289279,32.27774048
70,114.862646,32.26796169
71,115.196195,32.2573045
72,115.5295606,32.24577051
73,115.8627284,32.23336145
74,116.1956841,32.22007917
75,116.5284133,32.20592565
76,110.5149891,32.59547539
77,110.8505944,32.59632271
78,111.1862064,32.59627356
79,111.5218102,32.59532794
80,111.8573907,32.59348599
81,112.1929333,32.590748
82,112.5284229,32.58711437
83,112.8638447,32.58258566
84,113.1991839,32.57716255
85,113.5344256,32.57084586
86,113.8695551,32.56363655
87,114.2045576,32.5555357
88,114.5394184,32.54654453
89,114.8741227,32.5366644
90,115.2086559,32.52589679
91,115.5430035,32.51424333
92,115.8771509,32.50170576
93,116.2110835,32.48828597
94,116.544787,32.47398597
95,110.5135286,32.86477002
96,110.8501445,32.86562609
97,111.1867672,32.86557643
98,111.5233814,32.86462104
99,111.8599722,32.86276007
100,112.1965245,32.8599938
101,112.5330232,32.85632265
102,112.8694533,32.85174717
103,113.2057997,32.84626806
104,113.5420475,32.83988616
105,113.8781817,32.83260243
106,114.2141873,32.82441796
