id,latitude,longitude,rank,data
1788,32.061869,114.130080,1,9
1791,32.958608,114.047999,1,9
1809,33.581255,114.019286,1,9
1812,34.014298,113.833193,1,9
4593,33.275642,114.258362,1,9
7764,33.732951,113.390890,1,9
9802,34.907222,113.208889,1,9
11625,34.057472,114.386278,1,9
12274,35.092000,112.584000,1,9
12277,33.015200,114.343590,1,9
16855,35.077663,112.713416,1,9
23713,34.088158,114.116731,1,9
12097,31.785000,115.411111,1,8
11921,32.684434,115.044002,1,8
11635,34.412872,115.846662,1,8
11648,32.119497,115.053506,1,8
11551,32.689111,112.801556,1,8
12960,34.423522,115.078576,1,8
12965,34.024000,114.386000,1,8
20640,33.148930,113.960690,1,8
3868,32.162613,114.134647,1,8
14952,33.582800,114.013800,1,7
5191,32.962940,114.644300,1,7
524,33.774499,113.186869,1,7
11633,34.475008,115.305728,1,6
10060,34.151573,112.475425,1,6
10068,34.738060,112.801670,1,6
4041,33.138704,113.997581,1,6
12973,33.460167,114.876807,2,51
11766,34.786600,113.383385,1,5
11619,34.446090,115.068080,1,5
1802,33.638775,114.642184,1,5
3860,33.378536,114.025870,1,5
3865,32.717387,113.324920,1,5
24741,34.694569,112.741437,2,48
16851,35.113906,112.272468,2,42
10105,33.644419,115.194947,2,41
16848,35.160298,112.543028,2,40
7766,35.548198,114.525356,2,40
5347,34.551861,114.777250,1,4
5185,33.380249,114.007323,1,4
5197,32.737531,113.329627,1,4
13049,32.797300,113.999320,1,4
12038,32.941557,114.087750,2,39
890,34.807610,113.570805,2,39
10045,35.450560,113.784112,2,38
20601,34.537766,112.156661,2,38
12276,35.263633,113.633086,2,37
327,35.211806,113.232908,2,36
11783,35.155764,114.192544,2,36
23718,35.094585,113.438537,2,36
11786,33.492000,112.438800,1,35
11788,33.293100,111.486100,1,35
3737,35.207434,113.275872,1,34
4761,35.304778,113.649843,1,34
1815,35.722270,114.291488,1,34
16854,35.135041,112.689370,1,34
16847,35.032830,112.200224,1,34
20602,34.414444,112.441389,1,34
5387,35.186389,114.132500,1,33
4579,35.010268,113.748591,1,33
3379,0.000000,0.000000,1,32
20618,33.967597,115.276179,1,32
21664,35.176000,113.246700,1,31
5384,35.056389,114.387778,1,31
3774,35.973328,114.152765,1,30
4762,35.071311,113.950276,1,30
522,33.739200,113.321900,1,30
11752,33.929927,116.449864,1,30
11785,35.477222,113.786944,1,30
12027,34.396667,113.745556,1,30
12036,35.268600,113.315500,1,30
3850,32.342792,114.740456,1,3
5359,35.689513,115.026280,1,29
5376,35.151290,113.080700,1,29
1814,35.750387,114.301790,1,29
14872,35.237300,113.246500,1,29
15513,34.829884,112.444284,1,29
10047,34.776917,111.767532,1,28
10134,35.781630,115.027692,1,28
11659,33.144722,111.495556,1,28
5378,35.163010,113.069000,1,28
5371,35.175270,113.062800,1,28
9826,35.236396,113.180645,1,28
3381,0.000000,0.000000,1,27
3696,35.416572,113.925338,1,27
11605,32.332500,114.730278,1,27
11782,35.063194,113.937725,1,27
12358,31.649458,114.882511,1,27
13121,33.898713,112.898818,1,27
13114,35.662937,114.546560,1,27
24742,34.387028,111.690292,1,27
25487,0.000000,0.000000,1,26
15209,34.125100,113.813400,1,26
13115,35.327765,113.915490,1,26
12968,33.639200,115.167600,1,26
12092,33.709855,112.922660,1,26
11678,32.522778,112.353611,1,26
1743,35.763540,115.037784,1,26
1793,32.970894,112.506405,1,26
1834,32.694664,112.093833,1,26
438,34.612996,112.395008,1,26
4572,32.674517,112.614825,1,26
5392,34.790556,113.297778,1,25
4580,35.178149,113.772367,1,25
4576,33.253610,112.633200,1,25
443,34.619404,112.464172,1,25
893,34.775148,113.647791,1,25
11496,33.409058,115.090928,1,25
11918,33.263167,113.035167,1,25
12972,33.451570,114.925976,1,25
13118,34.749530,114.458029,1,25
13158,34.867994,113.617055,1,25
16149,36.106582,114.299435,1,25
15371,34.446096,113.756407,1,25
20619,33.865219,115.458755,1,25
23709,34.241944,113.778611,1,24
24743,34.174218,112.229717,1,24
13120,33.590524,114.097133,1,24
13111,34.412908,112.483242,1,24
12404,34.782200,111.190000,1,24
12343,34.796389,114.365000,1,24
10136,36.065517,115.202325,1,24
10114,33.056659,112.948739,1,24
10115,33.028732,112.254673,1,24
1787,32.133488,114.008308,1,24
1794,32.962336,112.571038,1,24
4728,35.784721,115.011725,1,24
3844,32.202757,114.509012,1,24
3394,0.000000,0.000000,1,23
3383,0.000000,0.000000,1,23
3697,34.058885,111.073394,1,23
7765,35.577763,114.498948,1,23
5379,35.695278,114.547222,1,23
4692,35.766661,115.005943,1,23
4044,32.727522,114.284840,1,23
444,34.650526,112.399725,1,23
1786,32.113739,114.059540,1,23
11609,33.310444,111.466250,1,23
10139,35.972016,114.901460,1,23
11919,33.049528,112.222694,1,23
11790,33.056139,111.838747,1,23
12970,34.073530,114.872262,1,23
20592,34.417606,112.420157,1,23
24797,35.602000,114.207100,1,22
16849,35.160959,112.133528,1,22
12962,34.243700,116.137900,1,22
13052,34.627856,112.495931,1,22
13048,32.981722,114.009606,1,22
11922,34.383056,113.770278,1,22
12073,35.931945,114.363071,1,22
10056,34.726328,112.132439,1,22
11506,34.265100,112.538500,1,22
889,34.770683,113.740135,1,22
1790,32.982892,114.001874,1,22
1739,35.776669,115.081092,1,22
1817,35.142179,114.205793,1,22
4546,33.558351,113.964724,1,22
7985,36.060634,114.176662,1,22
3392,0.000000,0.000000,1,22
3391,0.000000,0.000000,1,21
361,34.776298,114.344375,1,21
1816,35.730918,114.294564,1,21
1810,33.587242,114.007681,1,21
1741,35.760588,115.063303,1,21
11719,34.689269,112.294708,1,21
12062,34.769080,111.789233,1,21
12095,36.059823,113.826670,1,21
12969,33.734083,114.871944,1,21
17887,36.076091,115.212480,1,21
23722,36.061944,113.833333,1,21
25271,36.227581,114.287527,1,20
23739,33.292108,113.524414,1,20
24746,34.721977,113.742882,1,20
21463,35.072641,112.519782,1,20
20598,34.729836,112.150627,1,20
20588,34.512500,110.870000,1,20
20579,35.222700,113.438300,1,20
20584,35.623100,114.206700,1,20
15237,33.840722,113.914500,1,20
16850,35.101133,112.507286,1,20
16845,0.000000,0.000000,1,20
13726,35.794858,115.019983,1,20
13116,36.091399,114.307484,1,20
13584,34.176037,113.475457,1,20
12275,34.422064,114.188701,1,20
10043,35.401737,114.068236,1,20
887,34.720985,113.742584,1,20
888,34.747674,113.605480,1,20
442,34.706887,112.526927,1,20
4575,32.629163,112.582440,1,20
4696,34.601192,112.593732,1,20
8004,35.187996,114.663102,1,20
3736,35.060062,112.610908,1,20
3796,34.537905,113.389482,1,20
3384,0.000000,0.000000,1,20
3395,0.000000,0.000000,1,20
1804,33.612734,114.667788,1,2
